SL,RL,SDW,RWD,LA,RWC,Chla,Chlb,MDA,H2O2,EL,SOD,POD,CAT,APX,FP,SP,SS,TP,Na+ root,Na+ Shoot ,K+ root ,K+ shoot 
36.78,11.34,13.65,3.78,241.00,82.34,2.51,0.64,3.54,15.67,29.56,81,3.11,5.56,0.87,7.45,6.86,19.34,12.04,3.87,2.11,15.54,9.34
38.67,17.00,16.34,5.67,266.00,83.45,2.84,0.7,4.11,13.63,24.67,93.5,3.23,8.45,0.95,9.53,7.27,22.19,12.33,3.25,1.89,16.14,10.56
39.67,15.54,16.32,5.18,271.00,85.92,2.78,0.68,3.89,12.63,24.78,89.34,3.65,6.34,0.87,10.45,7.98,23.89,13.15,2.79,2.11,19.77,13.78
43.82,18.23,21.17,6.08,294.00,88.42,2.98,0.76,3.56,12.45,25.45,93.54,4.34,8.82,0.89,10.52,8.03,24.13,13.65,2.82,1.23,16.35,10.34
36.78,13.41,15.73,4.08,236.00,82.32,2.45,0.65,4.18,17.56,31.32,84.23,3.23,6.22,0.93,6.67,7.08,18.34,13.13,3.40,3.19,17.81,10.67
42.93,16.67,18.81,5.56,276.00,82.53,2.78,0.67,3.78,15.34,26.59,88.34,3.67,9.12,0.93,9.39,7.17,21.81,13.04,3.11,1.72,18.56,11.56
43.89,17.34,18.41,5.78,276.00,88.26,2.83,0.65,4.11,14.51,25.81,86.32,3.33,6.24,0.91,9.54,7.28,24.83,12.31,2.68,2.08,20.50,12.23
44.19,17.32,19.54,7.15,301.00,90.34,2.77,0.72,3.11,13.61,23.67,92.14,5.16,9.322,0.95,11.56,7.37,25.49,14.56,2.75,1.78,19.43,12.56
37.37,14.34,14.72,3.11,248.00,80.45,2.56,0.61,4.87,18.74,28.74,77.82,3.38,5.67,0.91,6.91,6.96,17.31,12.72,3.30,2.81,17.01,11.34
40.67,15.34,16.32,5.11,261.00,88.34,2.73,0.74,3.57,13.67,26.45,89,3.76,9.03,0.88,9.11,6.95,23.14,12.91,2.98,1.83,19.34,12.34
41.26,19.34,15.33,6.45,287.00,83.18,2.78,0.73,3.29,13.28,23.13,91.53,4.111,7.15,1.01,9.71,7.41,21.48,15.73,2.86,1.73,19.14,14.45
47.51,16.92,20.09,6.08,296.00,89.11,3.04,0.78,3.71,13.68,23.78,93.65,4.87,9.23,0.93,12.28,7.52,27.61,12.68,2.89,1.92,18.57,13.78
