SL,RL,SDW,RWD,LA,RWC,Chla,Chlb,MDA,H2O2,EL,SOD,POD,CAT,APX,FP,SP,SS,TP,Na+ root,Na+ Shoot ,K+ root ,K+ shoot 
19.91,6.34,7.62,1.68,158.34,59.63,1.94,0.33,18.43,48.91,70.92,138.91,6.39,15.26,1.54,13.27,9.56,36.64,16.65,9.28,6.09,6.78,3.84
28.74,8.72,9.65,2.39,184.09,72.67,2.25,0.51,14.82,35.19,51.29,184.09,9.11,20.18,2.39,17.57,12.65,40.79,20.81,6.49,4.28,8.78,4.27
27.19,8.34,9.63,2.27,185.34,70.19,2.18,0.43,11.53,32.91,50.91,185.34,9.27,16.38,2.27,16.92,12.18,43.12,24.31,8.09,5.04,9.21,5.42
32.46,9.72,13.64,2.56,200.75,76.86,2.32,0.54,9.82,28.45,44.03,217.34,12.81,23.19,2.56,23.56,13.31,42.92,22.48,6.72,4.76,8.17,7.75
22.56,7.45,8.04,2.11,168.30,62.84,1.92,0.38,20.56,46.82,72.32,134,7.11,12.71,1.64,15.23,10.97,36.53,19.15,10.82,5.95,6.78,2.62
27.74,7.34,11.32,2.17,187.34,69.54,2.01,0.48,12.42,36.56,58.56,187.34,8.97,22.93,2.17,17.29,12.45,38.32,22.98,6.11,5.37,9.00,4.16
29.56,10.23,10.32,2.11,189.53,73.56,2.12,0.45,13.34,38.28,55.81,189.53,9.11,17.73,2.11,18.09,13.03,39.92,23.18,7.78,4.72,9.45,5.95
30.71,11.34,12.21,2.56,197.40,77.45,2.32,0.52,10.34,30.23,46.78,215.72,11.34,22.02,2.56,20.67,14.89,43.55,27.90,6.69,3.89,8.55,7.55
21.67,5.34,7.75,1.82,163.80,61.78,1.97,0.36,15.72,44.89,72.59,128.49,6.71,14.38,1.78,12.93,9.31,36.88,17.48,8.93,6.753,7.11,3.69
26.56,8.11,8.12,2.56,175.30,73.56,2.15,0.46,13.89,33.51,52.57,175.3,10.09,21.34,2.56,16.84,12.13,41.59,20.65,6.55,4.71,7.00,4.51
28.17,9.62,11.45,1.91,197.45,73.85,2.17,0.47,12.45,36.78,51.62,197.45,8.91,18.32,1.91,17.45,12.57,42.34,22.15,6.57,5.242,8.34,5.22
33.00,10.34,11.45,2.93,205.18,73.21,2.31,0.56,12.31,32.71,46.23,205.18,13.56,21.72,2.93,21.34,14.09,44.28,25.81,5.27,4.68,7.66,7.97
